Title,Weight,Vendor,Price,Flavour Notes,Region,Country,Variety,Process,Image URL,Roast Type,Min Elevation,Max Elevation,Product Type,Availability
Katapult,250,Dutch Colony Coffee Co.,22,'numero undici',,Unknown,,,https://cdn.shopify.com/s/files/1/3006/6212/files/K-250g.jpg?v=1734928812,Espresso,,,Blend,Available
Katapult,,Dutch Colony Coffee Co.,79.2,'numero undici',,Unknown,,,https://cdn.shopify.com/s/files/1/3006/6212/files/K-250g.jpg?v=1734928812,Espresso,,,Blend,Available
Coffee Taster's Pack: Staple Single Origin Edition,,Dutch Colony Coffee Co.,29.9,,,Unknown,Rio Brilhante Arara,,https://cdn.shopify.com/s/files/1/3006/6212/files/DCC_Mockup-Box_13b8bbda-876f-4b2d-a896-c1dcca5877f6.jpg?v=1729251214,Unknown,,,Single Origin,Available
Dutch,250,Dutch Colony Coffee Co.,20,Blend,,Unknown,,,https://cdn.shopify.com/s/files/1/3006/6212/files/DCC_Mockup-250g_ad60ffa4-2da7-49b9-b19c-5156fcf8354e.jpg?v=1693983899,Espresso,,,Blend,Available
Colonial,250,Dutch Colony Coffee Co.,18,Blend,,Unknown,,,https://cdn.shopify.com/s/files/1/3006/6212/files/DCC_Colonial-250g.jpg?v=1698197361,Espresso,,,Blend,Available
Colonial,,Dutch Colony Coffee Co.,64.8,Blend,,Unknown,,,https://cdn.shopify.com/s/files/1/3006/6212/files/DCC_Colonial-250g.jpg?v=1698197361,Espresso,,,Blend,Available
Dutch,,Dutch Colony Coffee Co.,72,Blend,,Unknown,,,https://cdn.shopify.com/s/files/1/3006/6212/files/DCC_Mockup-250g_ad60ffa4-2da7-49b9-b19c-5156fcf8354e.jpg?v=1693983899,Espresso,,,Blend,Available
Batavia,,Dutch Colony Coffee Co.,64.8,Blend,,Unknown,,,https://cdn.shopify.com/s/files/1/3006/6212/files/Batavia_Mockup-250g.jpg?v=1698058693,Espresso,,,Blend,Available
Batavia,250,Dutch Colony Coffee Co.,18,Blend,,Unknown,,,https://cdn.shopify.com/s/files/1/3006/6212/files/Batavia_Mockup-250g.jpg?v=1698058693,Espresso,,,Blend,Available
Fazenda Da Lagoa Estate Samba,,Dutch Colony Coffee Co.,72,Dark Chocolate. Walnut. Cherry.,Sul De Minas,Brazil,"Catucai, Catuai & Acaia",Natural Sun-dried,https://cdn.shopify.com/s/files/1/3006/6212/products/DCC_Lagoa_250g.jpg?v=1675157230,Espresso,1045,1045,Single Origin,Available
Fazenda Da Lagoa Estate Samba,250,Dutch Colony Coffee Co.,20,Dark Chocolate. Walnut. Cherry.,Sul De Minas,Brazil,"Catucai, Catuai & Acaia",Natural Sun-dried,https://cdn.shopify.com/s/files/1/3006/6212/products/DCC_Lagoa_250g.jpg?v=1675157230,Espresso,1045,1045,Single Origin,Available
Rio Brilhante,250,Dutch Colony Coffee Co.,20,Red Apple. Boyson Berry. 70% Dark Chocolate,"Cerrado, Coromandel",Brazil,Catuai 99,Natural,https://cdn.shopify.com/s/files/1/3006/6212/products/Rio-Brilhante-250g_b7d95922-9c28-4db8-9aa8-3de9bf0839e0.jpg?v=1680657028,Espresso,1050,1050,Single Origin,Available
Rio Brilhante,,Dutch Colony Coffee Co.,72,Red Apple. Boyson Berry. 70% Dark Chocolate,"Cerrado, Coromandel",Brazil,Catuai 99,Natural,https://cdn.shopify.com/s/files/1/3006/6212/products/Rio-Brilhante-250g_b7d95922-9c28-4db8-9aa8-3de9bf0839e0.jpg?v=1680657028,Espresso,1050,1050,Single Origin,Available
Rio Brilhante Arara,250,Dutch Colony Coffee Co.,22,Apricot. Caramel Biscuit. Milk Chocolate,"Cerrado, Coromandel",Brazil,Arara,Natural - Dried on patios,https://cdn.shopify.com/s/files/1/3006/6212/files/Rio-Brilhante-Arara-250g.jpg?v=1719913569,Omni,1050,1050,Single Origin,Available
Rio Brilhante Arara,,Dutch Colony Coffee Co.,79.2,Apricot. Caramel Biscuit. Milk Chocolate,"Cerrado, Coromandel",Brazil,Arara,Natural - Dried on patios,https://cdn.shopify.com/s/files/1/3006/6212/files/Rio-Brilhante-Arara-250g.jpg?v=1719913569,Omni,1050,1050,Single Origin,Available
Ngin Plantation,,Dutch Colony Coffee Co.,68.4,Dark Chocolate. Roasted Hazelnut. Sweet Herbs,"Giris, Chikmagalur",India,"Catuai, Chandragiri, SLN 795",Fully Washed & Dried On Raise Beds,https://cdn.shopify.com/s/files/1/3006/6212/products/Ngin-Plantation-250g.jpg?v=1659088993,Espresso,950,1250,Single Origin,Available
Ngin Plantation,250,Dutch Colony Coffee Co.,19,Dark Chocolate. Roasted Hazelnut. Sweet Herbs,"Giris, Chikmagalur",India,"Catuai, Chandragiri, SLN 795",Fully Washed & Dried On Raise Beds,https://cdn.shopify.com/s/files/1/3006/6212/products/Ngin-Plantation-250g.jpg?v=1659088993,Espresso,950,1250,Single Origin,Available
Gayo Mandheling,,Dutch Colony Coffee Co.,68.4,Dark Chocolate. Herbal. Spicy. Raisins.,80% Hutapung / 20% Aceh Gayo,Indonesia,"Typica, Catimor",Wet Hulled and Sun-Dried,https://cdn.shopify.com/s/files/1/3006/6212/products/DCC_Mockup-250g10.jpg?v=1597223874,Espresso,1350,1350,Single Origin,Available
Gayo Mandheling,250,Dutch Colony Coffee Co.,19,Dark Chocolate. Herbal. Spicy. Raisins.,80% Hutapung / 20% Aceh Gayo,Indonesia,"Typica, Catimor",Wet Hulled and Sun-Dried,https://cdn.shopify.com/s/files/1/3006/6212/products/DCC_Mockup-250g10.jpg?v=1597223874,Espresso,1350,1350,Single Origin,Available
Aquiares Estate,250,Dutch Colony Coffee Co.,25,Caramelised Pineapple. Peach. Honey Melon.,"Turrialba, Aquiares",Costa Rica,Caturra,Natural,https://cdn.shopify.com/s/files/1/3006/6212/files/AE250g.jpg?v=1731938474,Omni,800,1400,Single Origin,Available
Aquiares Estate Esperanza,250,Dutch Colony Coffee Co.,22,Kyoho Grape. Orange Blossom. Mango.,"Turrialba, Aquiares",Costa Rica,Esperanza,Natural,https://cdn.shopify.com/s/files/1/3006/6212/files/Aquiares-Estate-Esperanza-250g.jpg?v=1738548981,Filter,1200,1400,Single Origin,Available
Aquiares Estate Centroamericano,250,Dutch Colony Coffee Co.,25,Gingerflower. Spearmint. Cinnamon Sugar.,"Turrialba, Aquiares",Costa Rica,Centroamericano,Co-Fermented Eucalyptus,https://cdn.shopify.com/s/files/1/3006/6212/files/DCC_Mockup-CA.jpg?v=1734927176,Filter,1200,1400,Single Origin,Available
Midnight Run,250,Dutch Colony Coffee Co.,22,Brown Sugar. Red Dates. Goji Berry.,Mexico,Mexico,"Typica, Marsellesa, Bourbon",Fully Washed & Decaffeinated,https://cdn.shopify.com/s/files/1/3006/6212/files/Midnight-Run-250g.jpg?v=1695694985,Espresso,1250,1700,Single Origin,Available
Midnight Run,,Dutch Colony Coffee Co.,79.2,Brown Sugar. Red Dates. Goji Berry.,Mexico,Mexico,"Typica, Marsellesa, Bourbon",Fully Washed & Decaffeinated,https://cdn.shopify.com/s/files/1/3006/6212/files/Midnight-Run-250g.jpg?v=1695694985,Espresso,1250,1700,Single Origin,Available
AB Kathima #082,250,Dutch Colony Coffee Co.,25,Juicy Apple. Rhubarb. Goji Berry. Red Berries,Embu Town,Kenya,"Ruiru 11, SL 28, Batian",Fully Washed,https://cdn.shopify.com/s/files/1/3006/6212/files/AB-Kathima-_082-250g.jpg?v=1727678442,Filter,1500,1800,Single Origin,Available
AB Kathima #082,,Dutch Colony Coffee Co.,90,Juicy Apple. Rhubarb. Goji Berry. Red Berries,Embu Town,Kenya,"Ruiru 11, SL 28, Batian",Fully Washed,https://cdn.shopify.com/s/files/1/3006/6212/files/AB-Kathima-_082-250g.jpg?v=1727678442,Filter,1500,1800,Single Origin,Available
Esteban Pillimue,,Dutch Colony Coffee Co.,90,Lemon Candy. Yellow Kiwi. Pineapple Jelly,Cauca,Colombia,Chiroso,Fully Washed,https://cdn.shopify.com/s/files/1/3006/6212/files/Esteban-Pillimue_Mockup-250g.jpg?v=1726022920,Filter,1800,1800,Single Origin,Available
Esteban Pillimue,250,Dutch Colony Coffee Co.,25,Lemon Candy. Yellow Kiwi. Pineapple Jelly,Cauca,Colombia,Chiroso,Fully Washed,https://cdn.shopify.com/s/files/1/3006/6212/files/Esteban-Pillimue_Mockup-250g.jpg?v=1726022920,Filter,1800,1800,Single Origin,Available
Neyid Pillimue,250,Dutch Colony Coffee Co.,22,Blood Orange. Cherry. Guava,Cauca,Colombia,Colombia & Caturra,Fully Washed,https://cdn.shopify.com/s/files/1/3006/6212/files/s.jpg?v=1735803898,Espresso,1900,1900,Single Origin,Available
Neyid Pillimue,,Dutch Colony Coffee Co.,79.2,Blood Orange. Cherry. Guava,Cauca,Colombia,Colombia & Caturra,Fully Washed,https://cdn.shopify.com/s/files/1/3006/6212/files/s.jpg?v=1735803898,Espresso,1900,1900,Single Origin,Available
Worka Nenke Yirgacheffe,250,Dutch Colony Coffee Co.,22,Raspberry. Dried Peach. Cantaloupe. Muscovado,"SNNPR, Gediyo, Worka",Ethiopia,74110 (Heirloom),Natural & Sun-Dried on Raised Beds,https://cdn.shopify.com/s/files/1/3006/6212/files/Worka-Nenke-Yirgacheffe-250g.jpg?v=1722492137,Omni,1983,1983,Single Origin,Available
Worka Nenke Yirgacheffe,,Dutch Colony Coffee Co.,79.2,Raspberry. Dried Peach. Cantaloupe. Muscovado,"SNNPR, Gediyo, Worka",Ethiopia,74110 (Heirloom),Natural & Sun-Dried on Raised Beds,https://cdn.shopify.com/s/files/1/3006/6212/files/Worka-Nenke-Yirgacheffe-250g.jpg?v=1722492137,Omni,1983,1983,Single Origin,Available
Aricha Wubanchi,250,Dutch Colony Coffee Co.,22,Sencha Tea. Peach. Jasmine. Blueberry Peel,"Southern Nations, Gedeo, Yirgacheffe",Ethiopia,Local Landraces & JARC 74 Selections,Natural & Sun-dried on African Beds,https://cdn.shopify.com/s/files/1/3006/6212/files/Aricha-Wubanchi-250g.jpg?v=1722493078,Omni,2000,2200,Single Origin,Available
Aricha Wubanchi,,Dutch Colony Coffee Co.,79.2,Sencha Tea. Peach. Jasmine. Blueberry Peel,"Southern Nations, Gedeo, Yirgacheffe",Ethiopia,Local Landraces & JARC 74 Selections,Natural & Sun-dried on African Beds,https://cdn.shopify.com/s/files/1/3006/6212/files/Aricha-Wubanchi-250g.jpg?v=1722493078,Omni,2000,2200,Single Origin,Available