Title,Weight,Vendor,Price,Flavour Notes,Region,Country,Variety,Process,Image URL,Min Elevation,Max Elevation
Splendour Supreme Beans,550,Splendour Coffee,22.99,Uncategorized,,Unknown,Unknown,Unknown,https://cdn.shopify.com/s/files/1/0130/5758/9305/products/splendour_supreme_coffee_beans.jpg?v=1635344306,,
Grand Summit of Wonders Roasted Beans,550,Splendour Coffee,24.99,Uncategorized,Multi-region,Unknown,Unknown,Unknown,https://cdn.shopify.com/s/files/1/0130/5758/9305/products/grand_summit_of_wonders_coffee_beans.jpg?v=1635409855,,
Classic Choco Blend Roasted Beans,550,Splendour Coffee,22.99,Uncategorized,,Unknown,Unknown,Unknown,https://cdn.shopify.com/s/files/1/0130/5758/9305/files/classic_choco_bag.webp?v=1713858494,,
Nicaraguan S Blend,550,Splendour Coffee,23.99,Fruity,,Unknown,Unknown,Unknown,https://cdn.shopify.com/s/files/1/0130/5758/9305/products/nicaragua_s_coffee_beans.jpg?v=1635344825,,
Classic BOLD Beans,550,Splendour Coffee,20.99,Uncategorized,,Unknown,Unknown,Unknown,https://cdn.shopify.com/s/files/1/0130/5758/9305/files/splendour_classic_bold_beans.webp?v=1696303637,,
Splendour Premium Beans,550,Splendour Coffee,21.99,Fruity,,Unknown,Unknown,Unknown,https://cdn.shopify.com/s/files/1/0130/5758/9305/products/premium_coffee_beans.jpg?v=1635344154,,
Nicaraguan Roasted Beans,550,Splendour Coffee,23.99,Fruity,,Unknown,Unknown,Unknown,https://cdn.shopify.com/s/files/1/0130/5758/9305/products/nicaraguan_pdt.jpg?v=1546397500,,
Sweet Melody Blend Roasted Beans,550,Splendour Coffee,27.99,Floral,,Unknown,Unknown,Unknown,https://cdn.shopify.com/s/files/1/0130/5758/9305/files/sweet_melody_blend_500g_coffee_beans.webp?v=1713858239,,
Classic Beans,550,Splendour Coffee,20.99,Uncategorized,,Unknown,Unknown,Unknown,https://cdn.shopify.com/s/files/1/0130/5758/9305/files/splendour_classic_coffee_beans.jpg?v=1699954207,,
Brazil Cerrado Roasted Beans,550,Splendour Coffee,24.99,Floral,Siera Do Salitre,Brazil,Unknown,Unknown,https://cdn.shopify.com/s/files/1/0130/5758/9305/files/brazil_cerrado_pack.webp?v=1740385731,1000,1200
"Toraja, Sulawesi Roasted Beans",550,Splendour Coffee,24.99,Fruity,"Toraja (Sulawesi, Indonesia)",Indonesia,Unknown,Unknown,https://cdn.shopify.com/s/files/1/0130/5758/9305/products/toraja_coffee_beans.jpg?v=1635344439,1200,1400
Honduras Montecillos Roasted Beans,550,Splendour Coffee,24.99,Fruity,"La Paz, Intibuca, Comayagua",Honduras,Unknown,Unknown,https://cdn.shopify.com/s/files/1/0130/5758/9305/files/hoduras_monticello_bag.webp?v=1740385731,1200,
Panama Roasted Beans,550,Splendour Coffee,24.99,Fruity,"Panama, Volcan Region. Finca Santa Teresa-Batista",Panama,Unknown,Unknown,https://cdn.shopify.com/s/files/1/0130/5758/9305/products/panama_coffee_beans_singapore_roaster.jpg?v=1665032015,1400,1800
Tanzania AA Roasted Beans,550,Splendour Coffee,24.99,Fruity,"Tanzania AA, Arusha Region",Tanzania,Unknown,Unknown,https://cdn.shopify.com/s/files/1/0130/5758/9305/products/tanzania_coffee_beans_singapore_roaster.jpg?v=1665025410,1400,1800
Kenya Impala Roasted Beans,550,Splendour Coffee,26.99,Fruity,"Narok County, Lolgorian/Mashangwa",Kenya,Unknown,Unknown,https://cdn.shopify.com/s/files/1/0130/5758/9305/files/kenya_impala_bag.webp?v=1740385730,1500,
Colombia Casablanca Roasted Beans,550,Splendour Coffee,24.99,Fruity,"Casablanca, Tolima, Colombia",Colombia,Unknown,Unknown,https://cdn.shopify.com/s/files/1/0130/5758/9305/files/colombia_casablanca_pack.webp?v=1696302353,1600,1900
Ethiopia Sidamo Roasted Beans,550,Splendour Coffee,23.99,Fruity,Sidamo Ethiopia,Ethiopia,Unknown,Unknown,https://cdn.shopify.com/s/files/1/0130/5758/9305/files/ethiopia_sidamo_coffee_beans.webp?v=1696303157,1600,1900