Title,Weight,Vendor,Price,Flavour Notes,Region,Country,Variety,Process,Image URL,Min_Elevation,Max_Elevation,Availability,Harvest,Brewing,Producer
Ethiopia Banko Chelchele,1000,Nylon Coffee Roasters,92.1,"Dried Mango, Orange Citrus, Dark Berries, Brown Spice","Gedeb, Gedeo, Ethiopia",Ethiopia,Ethiopian Heirloom,Natural,https://nylon.coffee/cdn/shop/files/banko-white.jpg?v=1738825078&width=4060,1900,2300,In Stock,Nov - Dec 2023,Espresso,Smallholder Cooperative members
Ethiopia Banko Chelchele,300,Nylon Coffee Roasters,32.5,"Dried Mango, Orange Citrus, Dark Berries, Brown Spice","Gedeb, Gedeo, Ethiopia",Ethiopia,Ethiopian Heirloom,Natural,https://nylon.coffee/cdn/shop/files/banko-white.jpg?v=1738825078&width=4060,1900,2300,In Stock,Nov - Dec 2023,Espresso,Smallholder Cooperative members
Brazil Sitio Canaa,250,Nylon Coffee Roasters,23.5,"Sultana, Dried Apricot, Hazelnut","Cacode, Mogiana, São Paulo, Brazil",Brazil,Obatã,Natural,https://nylon.coffee/cdn/shop/files/sc-white.jpg?v=1740796332&width=3970,1200,1350,In Stock,August 2024,Filter,João & Juliana Hamilton
Nicaragua Santa Maria De Lourdes,300,Nylon Coffee Roasters,25.5,"Cherry, Sultanas, Warm Spice, Chocolate","Nueva Segovia, Nicaragua",Nicaragua,Red Catuai,Natural Anaerobic,https://nylon.coffee/cdn/shop/files/smdl-white.jpg?v=1737009631&width=4060,1560,1560,In Stock,Jan 2024,Espresso,Octavio Peralta
Nicaragua Santa Maria De Lourdes,1000,Nylon Coffee Roasters,72.25,"Cherry, Sultanas, Warm Spice, Chocolate","Nueva Segovia, Nicaragua",Nicaragua,Red Catuai,Natural Anaerobic,https://nylon.coffee/cdn/shop/files/smdl-white.jpg?v=1737009631&width=4060,1560,1560,In Stock,Jan 2024,Espresso,Octavio Peralta
Guatemala Juan Ramirez Espresso,1000,Nylon Coffee Roasters,73.7,"Black Cherry, Vanilla, Milk Chocolate","Concepcion Huista, Huehuetenango, Guatemala",Guatemala,"Catuai, Caturra",Washed,https://nylon.coffee/cdn/shop/files/JR300.jpg?v=1738928087&width=4060,1780,1850,Sold out,Dec - Feb 2024,Espresso,Maria Ramirez Vargas
Guatemala Juan Ramirez Espresso,300,Nylon Coffee Roasters,26,"Black Cherry, Vanilla, Milk Chocolate","Concepcion Huista, Huehuetenango, Guatemala",Guatemala,"Catuai, Caturra",Washed,https://nylon.coffee/cdn/shop/files/JR300.jpg?v=1738928087&width=4060,1780,1850,Sold out,Dec - Feb 2024,Espresso,Maria Ramirez Vargas
Colombia San Bernando,300,Nylon Coffee Roasters,25.5,"Black Grapes, Dried Berries, Raisins, Chocolate","Buesaco, Narino, Colombia",Colombia,Tabi,Washed,https://nylon.coffee/cdn/shop/files/SB-white.jpg?v=1739430318&width=4060,2191,2191,In Stock,Jul - Aug 2024,Espresso,Edi Fabian Gomez Arcos
Colombia San Bernando,1000,Nylon Coffee Roasters,72.25,"Black Grapes, Dried Berries, Raisins, Chocolate","Buesaco, Narino, Colombia",Colombia,Tabi,Washed,https://nylon.coffee/cdn/shop/files/SB-white.jpg?v=1739430318&width=4060,2191,2191,In Stock,Jul - Aug 2024,Espresso,Edi Fabian Gomez Arcos
Nicaragua Las Tres Hermanas,250,Nylon Coffee Roasters,23,"Dried Orange, Nectarine, Yellow Plum","Mozonte, Nueva Segovia, Nicaragua",Nicaragua,Bourbon Tekesic,Washed,https://nylon.coffee/cdn/shop/files/TH-white.jpg?v=1736177120&width=3970,1500,600,In Stock,Jan - Mar 2024,Filter,Cinthya Magarita Morales Blandino
El Salvador Los Pirineos,250,Nylon Coffee Roasters,22,"Dried Tropical Fruits, Sultanas, Choco Hazelnut","Tecapa-Chinameca, Usulutan, El Salvador",El Salvador,Bourbon Elite,Washed,https://nylon.coffee/cdn/shop/files/LP-white_eddc3750-3a22-4dd4-a05c-00faec01aa96.jpg?v=1736061267&width=3970,1300,1500,Sold out,Feb 2024,Filter,Diego Baraona
Colombia Juan Martin Striped Bourbon,250,Nylon Coffee Roasters,27,"Persimmon, Red Plum, Fig, Roselle","Sotará, Cauca, Colombia",Colombia,Red Striped Bourbon,Washed,https://nylon.coffee/cdn/shop/files/JM_white.jpg?v=1739590331&width=3970,2050,2050,In Stock,May 2024,Filter,Banexport
Colombia La Laja,250,Nylon Coffee Roasters,28,"White Peach, Raspberry, Pomegranate, Hibiscus","El Tambo, Cauca, Colombia",Colombia,Red Striped Bourbon,Washed,https://nylon.coffee/cdn/shop/files/LJwhite.jpg?v=1740036329&width=3770,1750,1750,In Stock,Jul - Aug 2024,Filter,James Arlez Fernandez Vivas